munic;codigo_ibge;latitude;longitude
Itobi;3523800;-21.7309;-46.9743
Itu;3523909;-23.2544;-47.2927
Itupeva;3524006;-23.1526;-47.0593
Ituverava;3524105;-20.3355;-47.7902
Jaborandi;3524204;-20.6884;-48.4112
Jaboticabal;3524303;-21.252;-48.3252
Jacareí;3524402;-23.2983;-45.9658
Jaci;3524501;-20.8805;-49.5797
Jacupiranga;3524600;-24.6963;-48.0064
Jaguariúna;3524709;-22.7037;-46.9851
Jales;3524808;-20.2672;-50.5494
Jambeiro;3524907;-23.2522;-45.6942
Jandira;3525003;-23.5275;-46.9023
Jardinópolis;3525102;-21.0176;-47.7606
Jarinu;3525201;-23.1039;-46.728
Jaú;3525300;-22.2936;-48.5592
Jeriquara;3525409;-20.3116;-47.5918
Joanópolis;3525508;-22.927;-46.2741
João Ramalho;3525607;-22.2473;-50.7694
José Bonifácio;3525706;-21.0551;-49.6892
Júlio Mesquita;3525805;-22.0112;-49.7873
Jumirim;3525854;-23.0884;-47.7868
Jundiaí;3525904;-23.1852;-46.8974
Junqueirópolis;3526001;-21.5103;-51.4342
Juquiá;3526100;-24.3101;-47.6426
Juquitiba;3526209;-23.9244;-47.0653
Lagoinha;3526308;-23.0846;-45.1944
Laranjal Paulista;3526407;-23.0506;-47.8375
Lavínia;3526506;-21.1639;-51.0412
Lavrinhas;3526605;-22.57;-44.9024
Leme;3526704;-22.1809;-47.3841
Lençóis Paulista;3526803;-22.6027;-48.8037
Limeira;3526902;-22.566;-47.397
Lindóia;3527009;-22.5226;-46.65
Lins;3527108;-21.6718;-49.7526
Lorena;3527207;-22.7334;-45.1197
Lourdes;3527256;-20.966;-50.2263
Louveira;3527306;-23.0856;-46.9484
Lucélia;3527405;-21.7182;-51.0215
Lucianópolis;3527504;-22.4294;-49.522
Luís Antônio;3527603;-21.55;-47.7801
Luiziânia;3527702;-21.6737;-50.3294
Lupércio;3527801;-22.4146;-49.818
Lutécia;3527900;-22.3384;-50.394
Macatuba;3528007;-22.5002;-48.7102
Macaubal;3528106;-20.8022;-49.9687
Macedônia;3528205;-20.1444;-50.1973
Magda;3528304;-20.6445;-50.2305
Mairinque;3528403;-23.5398;-47.185
Mairiporã;3528502;-23.3171;-46.5897
Manduri;3528601;-23.0056;-49.3202
Marabá Paulista;3528700;-22.1068;-51.9617
Maracaí;3528809;-22.6149;-50.6713
Marapoama;3528858;-21.2587;-49.13
Mariápolis;3528908;-21.7959;-51.1824
Marília;3529005;-22.2171;-49.9501
Marinópolis;3529104;-20.4389;-50.8254
Martinópolis;3529203;-22.1462;-51.1709
Matão;3529302;-21.6025;-48.364
Mauá;3529401;-23.6677;-46.4613
Mendonça;3529500;-21.1757;-49.5791
Meridiano;3529609;-20.3579;-50.1811
Mesópolis;3529658;-19.9684;-50.6326
Miguelópolis;3529708;-20.1796;-48.031
Mineiros do Tietê;3529807;-22.412;-48.451
Mira Estrela;3530003;-19.9789;-50.139
Miracatu;3529906;-24.2766;-47.4625
Mirandópolis;3530102;-21.1313;-51.1035
Mirante do Paranapanema;3530201;-22.2904;-51.9084
Mirassol;3530300;-20.8169;-49.5206
Mirassolândia;3530409;-20.6179;-49.4617
Mococa;3530508;-21.4647;-47.0024
Mogi das Cruzes;3530607;-23.5208;-46.1854
Mogi Guaçu;3530706;-22.3675;-46.9428
Moji Mirim;3530805;-22.4332;-46.9532
Mombuca;3530904;-22.9285;-47.559
Monções;3531001;-20.8509;-50.0975
Mongaguá;3531100;-24.0809;-46.6265
Monte Alegre do Sul;3531209;-22.6817;-46.681
Monte Alto;3531308;-21.2655;-48.4971
Monte Aprazível;3531407;-20.768;-49.7184
Monte Azul Paulista;3531506;-20.9065;-48.6387
Monte Castelo;3531605;-21.2981;-51.5679
Monte Mor;3531803;-22.945;-47.3122
Monteiro Lobato;3531704;-22.9544;-45.8407
Morro Agudo;3531902;-20.7288;-48.0581
Morungaba;3532009;-22.8811;-46.7896
Motuca;3532058;-21.5103;-48.1538
Murutinga do Sul;3532108;-20.9908;-51.2774
Nantes;3532157;-22.6156;-51.24
Narandiba;3532207;-22.4057;-51.5274
Natividade da Serra;3532306;-23.3707;-45.4468
Nazaré Paulista;3532405;-23.1747;-46.3983
Neves Paulista;3532504;-20.843;-49.6358
Nhandeara;3532603;-20.6945;-50.0436
Nipoã;3532702;-20.9114;-49.7833
Nova Aliança;3532801;-21.0156;-49.4986
Nova Campina;3532827;-24.1224;-48.9022
Nova Canaã Paulista;3532843;-20.3836;-50.9483
Nova Castilho;3532868;-20.7615;-50.3477
Nova Europa;3532900;-21.7765;-48.5705
Nova Granada;3533007;-20.5321;-49.3123
Nova Guataporanga;3533106;-21.332;-51.6447
Nova Independência;3533205;-21.1026;-51.4905
Nova Luzitânia;3533304;-20.856;-50.2617
Nova Odessa;3533403;-22.7832;-47.2941
Novais;3533254;-20.9893;-48.9141
Novo Horizonte;3533502;-21.4651;-49.2234
Nuporanga;3533601;-20.7296;-47.7429
Ocauçu;3533700;-22.438;-49.922
Óleo;3533809;-22.9435;-49.3419
Olímpia;3533908;-20.7366;-48.9106
Onda Verde;3534005;-20.6042;-49.2929
Oriente;3534104;-22.1549;-50.0971
Orindiúva;3534203;-20.1861;-49.3464
Orlândia;3534302;-20.7169;-47.8852
Osasco;3534401;-23.5324;-46.7916
Oscar Bressane;3534500;-22.3149;-50.2811
Osvaldo Cruz;3534609;-21.7968;-50.8793
Ourinhos;3534708;-22.9797;-49.8697
Ouro Verde;3534807;-21.4872;-51.7024
Ouroeste;3534757;-20.0061;-50.3768
Pacaembu;3534906;-21.5627;-51.2654
Palestina;3535002;-20.39;-49.4309
Palmares Paulista;3535101;-21.0854;-48.8037
Palmeira d'Oeste;3535200;-20.4148;-50.7632
Palmital;3535309;-22.7858;-50.218
Panorama;3535408;-21.354;-51.8562
Paraguaçu Paulista;3535507;-22.4114;-50.5732
Paraibuna;3535606;-23.3872;-45.6639
Paraíso;3535705;-21.0159;-48.7761
Paranapanema;3535804;-23.3862;-48.7214
Paranapuã;3535903;-20.1048;-50.5886
Parapuã;3536000;-21.7792;-50.7949
Pardinho;3536109;-23.0841;-48.3679
Pariquera-Açu;3536208;-24.7147;-47.8742
Parisi;3536257;-20.3034;-50.0163
Patrocínio Paulista;3536307;-20.6384;-47.2801
Paulicéia;3536406;-21.3153;-51.8321
Paulínia;3536505;-22.7542;-47.1488
Paulistânia;3536570;-22.5768;-49.4008
Paulo de Faria;3536604;-20.0296;-49.4
Pederneiras;3536703;-22.3511;-48.7781
Pedra Bela;3536802;-22.7902;-46.4455
Pedranópolis;3536901;-20.2474;-50.1129
Pedregulho;3537008;-20.2535;-47.4775
Pedreira;3537107;-22.7413;-46.8948
Pedrinhas Paulista;3537156;-22.8174;-50.7933
Pedro de Toledo;3537206;-24.2764;-47.2354
Penápolis;3537305;-21.4148;-50.0769
Pereira Barreto;3537404;-20.6368;-51.1123
Pereiras;3537503;-23.0804;-47.972
Peruíbe;3537602;-24.312;-47.0012
Piacatu;3537701;-21.5921;-50.6003
Piedade;3537800;-23.7139;-47.4256
Pilar do Sul;3537909;-23.8077;-47.7222
Pindamonhangaba;3538006;-22.9246;-45.4613
Pindorama;3538105;-21.1853;-48.9086
Pinhalzinho;3538204;-22.7811;-46.5897
Piquerobi;3538303;-21.8747;-51.7282
Piquete;3538501;-22.6069;-45.1869
