"nome_munic";"codigo_ibge";"dia";"mes";"datahora";"casos";"casos_novos";"casos_pc";"casos_mm7d";"obitos";"obitos_novos";"obitos_pc";"obitos_mm7d";"letalidade";"nome_ra";"cod_ra";"nome_drs";"cod_drs";"pop";"pop_60";"area";"map_leg";"map_leg_s";"latitude";"longitude";"semana_epidem"
"São Bernardo do Campo";3548708;19;3;2020-03-19;3;0;0,369419002420926;0,428571428571429;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;812086;122274;40953;"<10";"7";-23,6914;-46,5646;12
"São Caetano do Sul";3548807;19;3;2020-03-19;1;0;0,661183253550554;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;151244;34932;1533;"<10";"7";-23,6229;-46,5548;12
"São José do Rio Preto";3549805;19;3;2020-03-19;1;0;0,223252158848376;0,142857142857143;0;0;0;0;0;"RA de São José do Rio Preto";14;"São José do Rio Preto";15;447924;79391;43194;"<10";"7";-20,8113;-49,3758;12
"São José dos Campos";3549904;19;3;2020-03-19;1;0;0,140715453652551;0,142857142857143;0;0;0;0;0;"RA de São José dos Campos";15;"Taubaté";17;710654;103840;109941;"<10";"7";-23,1896;-45,8841;12
"São Paulo";3550308;19;3;2020-03-19;259;45;2,18203385775161;30,7142857142857;5;2;0,0421242057481006;0,714285714285714;0,0193050193050193;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;">150";"1";-23,5329;-46,6395;12
"Suzano";3552502;19;3;2020-03-19;1;1;0,34364024989519;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;291002;37156;20624;"<10";"7";-23,5448;-46,3112;12
"Taubaté";3554102;19;3;2020-03-19;1;1;0,325350320958092;0,142857142857143;0;0;0;0;0;"RA de São José dos Campos";15;"Taubaté";17;307361;47104;625;"<10";"7";-23,0104;-45,5593;12
"Barueri";3505708;20;3;2020-03-20;1;0;0,378229131207686;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;264390;29409;657;"<10";"7";-23,5057;-46,879;12
"Campinas";3509502;20;3;2020-03-20;1;0;0,0850701105315946;0,142857142857143;0;0;0;0;0;"RA de Campinas";4;"Campinas";3;1175501;192796;79457;"<10";"7";-22,9053;-47,0659;12
"Carapicuíba";3510609;20;3;2020-03-20;2;0;0,506844940927222;0,285714285714286;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;394598;50996;3455;"<10";"7";-23,5235;-46,8407;12
"Cotia";3513009;20;3;2020-03-20;2;0;0,808329022245215;0,285714285714286;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;247424;28357;32399;"<10";"7";-23,6022;-46,919;12
"Ferraz de Vasconcelos";3515707;20;3;2020-03-20;1;0;0,51803540253941;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;193037;21049;2956;"<10";"7";-23,5411;-46,371;12
"Guarulhos";3518800;20;3;2020-03-20;1;0;0,0740041812362398;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;1351275;162662;31868;"<10";"7";-23,4538;-46,5333;12
"Hortolândia";3519071;20;3;2020-03-20;1;1;0,434276582069588;0,142857142857143;0;0;0;0;0;"RA de Campinas";4;"Campinas";3;230268;26129;6242;"<10";"7";-22,8529;-47,2143;12
"Jaguariúna";3524709;20;3;2020-03-20;1;0;1,82322053675613;0,142857142857143;0;0;0;0;0;"RA de Campinas";4;"Campinas";3;54848;7339;14139;"<10";"7";-22,7037;-46,9851;12
"Mauá";3529401;20;3;2020-03-20;1;0;0,217328940391018;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;460132;57797;6191;"<10";"7";-23,6677;-46,4613;12
"Mogi das Cruzes";3530607;20;3;2020-03-20;1;1;0,230997562975711;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;432905;60748;71254;"<10";"7";-23,5208;-46,1854;12
"Osasco";3534401;20;3;2020-03-20;1;0;0,146850641149899;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;680964;93147;6495;"<10";"7";-23,5324;-46,7916;12
"Santana de Parnaíba";3547304;20;3;2020-03-20;2;1;1,44789042365274;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;138132;16604;17995;"<10";"7";-23,4439;-46,9178;12
"Santo André";3547809;20;3;2020-03-20;3;1;0,432359515584399;0,428571428571429;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;693867;123293;17578;"<10";"7";-23,6737;-46,5432;12
"São Bernardo do Campo";3548708;20;3;2020-03-20;4;1;0,492558669894568;0,571428571428571;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;812086;122274;40953;"<10";"7";-23,6914;-46,5646;12
"São Caetano do Sul";3548807;20;3;2020-03-20;4;3;2,64473301420222;0,571428571428571;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;151244;34932;1533;"<10";"7";-23,6229;-46,5548;12
"São José do Rio Preto";3549805;20;3;2020-03-20;1;0;0,223252158848376;0,142857142857143;0;0;0;0;0;"RA de São José do Rio Preto";14;"São José do Rio Preto";15;447924;79391;43194;"<10";"7";-20,8113;-49,3758;12
"São José dos Campos";3549904;20;3;2020-03-20;1;0;0,140715453652551;0,142857142857143;0;0;0;0;0;"RA de São José dos Campos";15;"Taubaté";17;710654;103840;109941;"<10";"7";-23,1896;-45,8841;12
"São Paulo";3550308;20;3;2020-03-20;306;47;2,57800139178376;37,4285714285714;9;4;0,0758235703465811;1,28571428571429;0,0294117647058824;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;">150";"1";-23,5329;-46,6395;12
"Suzano";3552502;20;3;2020-03-20;1;0;0,34364024989519;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;291002;37156;20624;"<10";"7";-23,5448;-46,3112;12
"Taubaté";3554102;20;3;2020-03-20;1;0;0,325350320958092;0,142857142857143;0;0;0;0;0;"RA de São José dos Campos";15;"Taubaté";17;307361;47104;625;"<10";"7";-23,0104;-45,5593;12
"Barueri";3505708;21;3;2020-03-21;1;0;0,378229131207686;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;264390;29409;657;"<10";"7";-23,5057;-46,879;12
"Campinas";3509502;21;3;2020-03-21;1;0;0,0850701105315946;0,142857142857143;0;0;0;0;0;"RA de Campinas";4;"Campinas";3;1175501;192796;79457;"<10";"7";-22,9053;-47,0659;12
"Carapicuíba";3510609;21;3;2020-03-21;2;0;0,506844940927222;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;394598;50996;3455;"<10";"7";-23,5235;-46,8407;12
"Cotia";3513009;21;3;2020-03-21;2;0;0,808329022245215;0,285714285714286;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;247424;28357;32399;"<10";"7";-23,6022;-46,919;12
"Ferraz de Vasconcelos";3515707;21;3;2020-03-21;1;0;0,51803540253941;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;193037;21049;2956;"<10";"7";-23,5411;-46,371;12
"Guarulhos";3518800;21;3;2020-03-21;1;0;0,0740041812362398;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;1351275;162662;31868;"<10";"7";-23,4538;-46,5333;12
"Hortolândia";3519071;21;3;2020-03-21;1;0;0,434276582069588;0,142857142857143;0;0;0;0;0;"RA de Campinas";4;"Campinas";3;230268;26129;6242;"<10";"7";-22,8529;-47,2143;12
"Jaguariúna";3524709;21;3;2020-03-21;1;0;1,82322053675613;0,142857142857143;0;0;0;0;0;"RA de Campinas";4;"Campinas";3;54848;7339;14139;"<10";"7";-22,7037;-46,9851;12
"Mauá";3529401;21;3;2020-03-21;1;0;0,217328940391018;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;460132;57797;6191;"<10";"7";-23,6677;-46,4613;12
"Mogi das Cruzes";3530607;21;3;2020-03-21;1;0;0,230997562975711;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;432905;60748;71254;"<10";"7";-23,5208;-46,1854;12
"Osasco";3534401;21;3;2020-03-21;1;0;0,146850641149899;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;680964;93147;6495;"<10";"7";-23,5324;-46,7916;12
"Santana de Parnaíba";3547304;21;3;2020-03-21;2;0;1,44789042365274;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;138132;16604;17995;"<10";"7";-23,4439;-46,9178;12
"Santo André";3547809;21;3;2020-03-21;3;0;0,432359515584399;0,428571428571429;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;693867;123293;17578;"<10";"7";-23,6737;-46,5432;12
"São Bernardo do Campo";3548708;21;3;2020-03-21;4;0;0,492558669894568;0,571428571428571;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;812086;122274;40953;"<10";"7";-23,6914;-46,5646;12
"São Caetano do Sul";3548807;21;3;2020-03-21;4;0;2,64473301420222;0,571428571428571;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;151244;34932;1533;"<10";"7";-23,6229;-46,5548;12
