codigo_ibge;nome_munic;nome_ra;cod_ra;pop;area
3537701;Piacatu;RA de Araçatuba;1;5891;232.49
3544400;Rubiácea;RA de Araçatuba;1;3106;236.48
3548054;Santo Antônio do Aracanguá;RA de Araçatuba;1;8252;1308.43
3548401;Santópolis do Aguapeí;RA de Araçatuba;1;4668;128.03
3549250;São João de Iracema;RA de Araçatuba;1;1850;178.4
3552304;Sud Mennucci;RA de Araçatuba;1;7713;594.74
3552551;Suzanápolis;RA de Araçatuba;1;3947;330.59
3555208;Turiúba;RA de Araçatuba;1;1912;153.24
3556305;Valparaíso;RA de Araçatuba;1;23988;857.66
3500105;Adamantina;RA de Presidente Prudente;9;33894;411.99
3500808;Alfredo Marcondes;RA de Presidente Prudente;9;3927;118.92
3501301;Álvares Machado;RA de Presidente Prudente;9;23789;347.65
3502408;Anhumas;RA de Presidente Prudente;9;3963;320.84
3508900;Caiabu;RA de Presidente Prudente;9;4103;253.35
3509106;Caiuá;RA de Presidente Prudente;9;5600;551.16
3514403;Dracena;RA de Presidente Prudente;9;44995;487.69
3515129;Emilianópolis;RA de Presidente Prudente;9;3068;225.17
3515301;Estrela do Norte;RA de Presidente Prudente;9;2665;264.99
3515350;Euclides da Cunha Paulista;RA de Presidente Prudente;9;9537;573.89
3515806;Flora Rica;RA de Presidente Prudente;9;1589;224.71
3516002;Flórida Paulista;RA de Presidente Prudente;9;12120;524.14
3519907;Iepê;RA de Presidente Prudente;9;7921;594.97
3520608;Indiana;RA de Presidente Prudente;9;4775;129.37
3520806;Inúbia Paulista;RA de Presidente Prudente;9;3892;87.12
3521606;Irapuru;RA de Presidente Prudente;9;7334;214.46
3526001;Junqueirópolis;RA de Presidente Prudente;9;20065;582.57
3527405;Lucélia;RA de Presidente Prudente;9;21019;314.81
3528700;Marabá Paulista;RA de Presidente Prudente;9;4931;919.52
3528908;Mariápolis;RA de Presidente Prudente;9;3975;186.54
3529203;Martinópolis;RA de Presidente Prudente;9;25668;1253.56
3530201;Mirante do Paranapanema;RA de Presidente Prudente;9;17769;1238.93
3531605;Monte Castelo;RA de Presidente Prudente;9;3991;233.55
3532157;Nantes;RA de Presidente Prudente;9;3071;286.65
3532207;Narandiba;RA de Presidente Prudente;9;4841;357.33
3533106;Nova Guataporanga;RA de Presidente Prudente;9;2191;34.16
3534609;Osvaldo Cruz;RA de Presidente Prudente;9;31263;248.04
