nome_munic;codigo_ibge;dia;mes;datahora;casos;casos_novos;casos_pc;casos_mm7d;obitos;obitos_novos;obitos_pc;obitos_mm7d;letalidade;nome_ra;cod_ra;nome_drs;cod_drs;pop;pop_60;area;map_leg;map_leg_s;latitude;longitude
Rio Claro;3543907;28;3;2020-03-28;    1;   0;   0,4969883;   1,2857143;   0;  0; 0,00000000;  0,1428571;0,000000000;RA de Campinas; 4;Piracicaba;11;  201212;  33922; 49842;<10;7;-22.3984;-47.5546
Santana de Parnaíba;3547304;28;3;2020-03-28;    7;   1;   5,0676165;   2,1428571;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  138132;  16604; 17995;<10;7;-23.4439;-46.9178
Santo André;3547809;28;3;2020-03-28;   37;  20;   5,3324340;   7,2857143;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  693867; 123293; 17578;<50;5;-23.6737;-46.5432
Santos;3548500;28;3;2020-03-28;    1;NA;   0,2332617;   7,2857143;   0;NA; 0,00000000;  0,1428571;0,000000000;RA de Santos;12;Baixada Santista;13;  428703;  95433; 28103;<10;7;-23.9535;-46.335
São Bernardo do Campo;3548708;28;3;2020-03-28;   31;  16;   3,8173297;  11,5714286;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  812086; 122274; 40953;<50;5;-23.6914;-46.5646
São Caetano do Sul;3548807;28;3;2020-03-28;   24;   8;  15,8683981;  14,8571429;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  151244;  34932;  1533;<25;6;-23.6229;-46.5548
São José do Rio Preto;3549805;28;3;2020-03-28;    1;   0;   0,2232522;  14,5714286;   0;  0; 0,00000000;  0,0000000;0,000000000;RA de São José do Rio Preto;14;São José do Rio Preto;15;  447924;  79391; 43194;<10;7;-20.8113;-49.3758
São José dos Campos;3549904;28;3;2020-03-28;    4;   0;   0,5628618;  15,0000000;   0;  0; 0,00000000;  0,0000000;0,000000000;RA de São José dos Campos;15;Taubaté;17;  710654; 103840;109941;<10;7;-23.1896;-45.8841
São Paulo;3550308;28;3;2020-03-28; 1149; 105;   9,6801425; 178,1428571;  76; 13; 0,64028793; 10,8571429;0,066144473;RM de São Paulo;10;Grande São Paulo;10;11869660;1853286;152111;>150;1;-23.5329;-46.6395
São Pedro;3550407;28;3;2020-03-28;    1;NA;   2,9232928; 173,0000000;   0;NA; 0,00000000; 10,8571429;0,000000000;RA de Campinas; 4;Piracicaba;11;   34208;   6296; 61128;<10;7;-22.5483;-47.9096
