codigo_ibge;map_mun;cod_drs;cod_ra
3552007;0;17;15
3552304;2;7;1
3552551;0;7;1
3552601;0;15;14
3552700;1;8;5
3552908;0;2;9
3553005;0;12;7
3553203;0;16;2
3553302;0;14;4
3553500;0;6;13
3553609;1;14;4
3553658;0;16;11
3553856;0;6;7
3553955;1;5;8
3554201;0;12;7
3554300;0;2;9
3554508;1;6;13
3554607;1;5;8
3554656;2;12;13
3554706;6;12;4
3554755;0;8;5
3554805;0;17;15
3554904;0;15;14
3555208;0;7;1
3555307;0;15;14
3555356;0;15;14
3555505;0;5;3
3555604;2;15;14
3555703;0;15;14
3555802;0;15;14
3555901;1;12;3
3556008;0;15;14
3556107;0;15;14
3556305;0;7;1
3556354;1;3;4
3556404;1;14;4
3556602;0;5;8
3556800;0;16;2
3556958;0;15;14
3557154;0;15;14
