munic;casos;obitos;dia;mes;codigo_ibge;latitude;longitude
aruja;   6;  1; 3; 4;3503901;-233965;  -4632
assis;   1;NA; 3; 4;3504008;  -2266;-504183
atibaia;   4;NA; 3; 4;3504107;-231171;-465563
barueri;  30;  1; 3; 4;3505708;-235057; -46879
bauru;   3;  1; 3; 4;3506003;-223246;-490871
botucatu;   7;NA; 3; 4;3507506;-228837;-484437
brodowski;   1;NA; 3; 4;3507803;-209845;-476572
cachoeira paulista;   1;NA; 3; 4;3508603;-226665;-450154
caieiras;  20;NA; 3; 4;3509007;-233607;-467397
cajamar;   1;NA; 3; 4;3509205; -23355;-468781
campinas;  26;  4; 3; 4;3509502;-229053;-470659
carapicuiba;  14;  1; 3; 4;3510609;-235235;-468407
cedral;   1;NA; 3; 4;3511300;-209009;-492664
cotia;  29;NA; 3; 4;3513009;-236022; -46919
cravinhos;   2;  1; 3; 4;3513108; -21338;-477324
diadema;  24;NA; 3; 4;3513801;-236813;-466205
dracena;   1;  1; 3; 4;3514403;-214843; -51535
embu das artes;  20;NA; 3; 4;3515004;-236437;-468579
ferraz de vasconcelos;  15;NA; 3; 4;3515707;-235411; -46371
franca;   2;NA; 3; 4;3516200;-205352;-474039
francisco morato;   8;NA; 3; 4;3516309;-232792;-467448
franco da rocha;   8;  1; 3; 4;3516408;-233229; -46729
guararapes;   2;NA; 3; 4;3518206;-212544;-506453
guaruja;   3;NA; 3; 4;3518701;-239888; -46258
guarulhos;  62;NA; 3; 4;3518800;-234538;-465333
hortolandia;   1;NA; 3; 4;3519071;-228529;-472143
indaiatuba;   2;NA; 3; 4;3520509;-230816;-472101
iracemapolis;   1;NA; 3; 4;3521408;-225832; -47523
itanhaem;   2;NA; 3; 4;3522109;-241736; -46788
itapecerica da serra;   9;  1; 3; 4;3522208;-237161;-468572
itapetininga;   1;NA; 3; 4;3522307;-235886;-480483
itapevi;   8;NA; 3; 4;3522505;-235488;-469327
itapira;   1;NA; 3; 4;3522604;-224357;-468224
itaquaquecetuba;  10;NA; 3; 4;3523107;-234835;-463457
itarare;   1;NA; 3; 4;3523206;-241085;-493352
